row_id,timestamp,source,external_id,title,severity,service,resource,environment,state,message
R030,2026-09-02T11:19:12+07:00,azure_monitor,AZ-77433,Disk free space less than 10 percent (node-04),Sev2,infra,node-04,production,Fired,7.9 percent free on /var
R031,2026-09-02T11:50:00+07:00,azure_monitor,AZ-77435,Autoscale scaled out web-frontend to 4 instances,Sev4,web-frontend,web-prod-01,production,,scale rule cpu above 70
R032,2026-09-02T12:05:16+07:00,azure_monitor,AZ-77440,Memory percentage greater than 88 (web-prod-01),Sev2,web-frontend,web-prod-01,production,Fired,memory 90.8 percent
R033,2026-09-02T12:11:29+07:00,azure_monitor,AZ-77447,Memory percentage greater than 88 (web-prod-01),Sev2,web-frontend,web-prod-01,production,Resolved,memory 58.7 percent
R034,2026-09-02T12:40:00+07:00,email,EM-88255,Microsoft 365 service health advisory - informational,INFO,m365,tenant,production,,advisory MO123456
R035,2026-09-02T13:20:33+07:00,grafana,GRF-40260,HighAPILatency p95 above 800ms (payment-api),warning,payment-api,api-prod-01,production,alerting,p95=980ms over 5m
R036,2026-09-02T13:21:07+07:00,grafana,GRF-40261,HighAPILatency p95 above 800ms (payment-api),warning,payment-api,api-stg-01,staging,alerting,p95=1310ms over 5m
R037,2026-09-02T13:29:50+07:00,grafana,GRF-40264,[RESOLVED] HighAPILatency p95 above 800ms (payment-api),warning,payment-api,api-prod-01,production,ok,p95=302ms over 5m
R038,2026-09-02T13:33:12+07:00,grafana,GRF-40266,[RESOLVED] HighAPILatency p95 above 800ms (payment-api),warning,payment-api,api-stg-01,staging,ok,p95=265ms over 5m
R039,2026-09-02T14:00:03+07:00,grafana,GRF-40280,TLSCertificateExpiringSoon 14 days (cdn-edge-01),warning,web-frontend,cdn-edge-01,production,alerting,certificate expires 2026-09-16
R040,2026-09-02T14:00:07+07:00,azure_monitor,AZ-77501,Disk free space less than 15 percent (node-11),Sev2,reporting,node-11,production,Fired,13.8 percent free on /data
R041,2026-09-02T14:00:11+07:00,uptime_kuma,UK-9120,[internal-wiki] [Down] Timeout after 10s,,wiki,wiki-01,production,Down,request timed out
R042,2026-09-02T14:00:19+07:00,grafana,GRF-40283,Elevated5xxRate above 2 percent (search-api),warning,search-api,search-prod-03,production,alerting,5xx ratio 3.1 percent over 5m
R043,2026-09-02T14:06:40+07:00,uptime_kuma,UK-9126,[internal-wiki] [Up] Service restored,,wiki,wiki-01,production,Up,200 OK in 89ms
R044,2026-09-02T14:30:00+07:00,grafana,GRF-40290,Dashboard snapshot created (ops-overview),info,platform,grafana-01,production,,snapshot id 8821
R045,2026-09-02T15:10:22+07:00,grafana,GRF-40320,WorkerMemoryHigh above 85 percent (worker-prod-02),warning,batch-worker,worker-prod-02,production,alerting,rss 86.2 percent of limit
R046,2026-09-02T15:40:55+07:00,grafana,GRF-40331,WorkerMemoryHigh above 85 percent (worker-prod-02),warning,batch-worker,worker-prod-02,production,alerting,rss 89.7 percent of limit
R047,2026-09-02T16:25:11+07:00,grafana,GRF-40345,WorkerMemoryHigh above 85 percent (worker-prod-02),warning,batch-worker,worker-prod-02,production,alerting,rss 93.4 percent of limit
R048,2026-09-02T16:50:00+07:00,email,EM-88290,Nightly backup completed on db-prod-02,INFO,backup,db-prod-02,production,,job nightly-full exited 0 after 00:38:04
R049,2026-09-02T17:15:00+07:00,uptime_kuma,UK-9150,Monitor added: reporting-portal,,reporting,reporting-01,production,,interval 60s
R050,2026-09-02T18:45:29+07:00,grafana,GRF-40410,HighAPILatency p95 above 800ms (payment-api),warning,payment-api,api-prod-01,production,alerting,p95=1420ms over 5m
R051,2026-09-02T18:52:46+07:00,grafana,GRF-40415,[RESOLVED] HighAPILatency p95 above 800ms (payment-api),warning,payment-api,api-prod-01,production,ok,p95=274ms over 5m
R052,2026-09-02T19:30:08+07:00,azure_monitor,AZ-77600,Memory percentage greater than 88 (web-prod-01),Sev2,web-frontend,web-prod-01,production,Fired,memory 92.1 percent
R053,2026-09-02T19:38:21+07:00,azure_monitor,AZ-77607,Memory percentage greater than 88 (web-prod-01),Sev2,web-frontend,web-prod-01,production,Resolved,memory 55.9 percent
R054,2026-09-02T20:15:03+07:00,azure_monitor,AZ-77620,SQL connection pool utilization above 90 (sql-prod-02),Sev2,reporting-db,sql-prod-02,production,Fired,92 percent of 200 connections in use
R055,2026-09-02T20:22:37+07:00,azure_monitor,AZ-77624,SQL connection pool utilization above 90 (sql-prod-02),Sev2,reporting-db,sql-prod-02,production,Fired,94 percent of 200 connections in use
R056,2026-09-02T20:55:14+07:00,azure_monitor,AZ-77631,SQL connection pool utilization above 98 (sql-prod-02),Sev1,reporting-db,sql-prod-02,production,Fired,99 percent of 200 connections in use
R057,2026-09-02T21:05:00+07:00,grafana,GRF-40450,DNSResolutionFailures above threshold (dns-prod-01),warning,dns,dns-prod-01,production,alerting,SERVFAIL ratio 6.2 percent
R058,2026-09-02T21:05:47+07:00,grafana,GRF-40451,DNSResolutionFailures above threshold (dns-prod-01),warning,dns,dns-prod-01,production,alerting,SERVFAIL ratio 7.1 percent
R059,2026-09-02T21:06:33+07:00,grafana,GRF-40452,DNSResolutionFailures above threshold (dns-prod-01),warning,dns,dns-prod-01,production,alerting,SERVFAIL ratio 5.8 percent
R060,2026-09-02T21:07:19+07:00,grafana,GRF-40453,DNSResolutionFailures above threshold (dns-prod-01),warning,dns,dns-prod-01,production,alerting,SERVFAIL ratio 8.0 percent
R061,2026-09-02T21:08:02+07:00,grafana,GRF-40454,DNSResolutionFailures above threshold (dns-prod-01),warning,dns,dns-prod-01,production,alerting,SERVFAIL ratio 6.9 percent
R062,2026-09-02T21:09:41+07:00,grafana,GRF-40455,DNSResolutionFailures above threshold (dns-prod-01),warning,dns,dns-prod-01,production,alerting,SERVFAIL ratio 5.5 percent
R063,2026-09-02T21:11:26+07:00,grafana,GRF-40458,[RESOLVED] DNSResolutionFailures above threshold (dns-prod-01),warning,dns,dns-prod-01,production,ok,SERVFAIL ratio 0.1 percent
R064,2026-09-02T21:40:00+07:00,grafana,GRF-40460,Alert rule updated: DNSResolutionFailures,info,platform,grafana-01,production,,threshold changed by ops
R065,2026-09-02T22:00:00+07:00,email,EM-88310,Weekly capacity report generated,INFO,platform,reporting-01,production,,report id 4412
R066,2026-09-02T22:30:00+07:00,grafana,GRF-40470,Datasource health check ok (prometheus),info,platform,grafana-01,production,,scrape latency 42ms
R067,2026-09-02T23:10:00+07:00,azure_monitor,AZ-77650,Resource tags updated on rg-production,Sev4,platform,rg-production,production,,14 resources retagged
R068,2026-09-02T23:45:00+07:00,uptime_kuma,UK-9180,Heartbeat summary: 42 monitors up,,platform,uptime-01,production,,uptime 99.94 percent today
R069,2026-09-02T23:55:00+07:00,email,EM-88320,Nightly maintenance window started,INFO,platform,tenant,production,,window 23:55-02:00
